generation,ms,time
83,"[[23, 3, 16, 13, 10, 22, 6, 14, 18, 5, 17, 7, 12, 8, 21, 2, 24, 4, 15, 20, 1, 25, 19, 11, 9], [25, 23, 25, 24, 25, 25, 23, 25, 26, 25, 24, 26, 25, 25, 25, 25, 27, 25, 25, 25, 26, 28, 25, 25, 24]]",0.003008127212524414
48,"[[13, 11, 3, 17, 21, 16, 7, 25, 2, 15, 14, 22, 6, 18, 5, 10, 24, 8, 19, 4, 12, 1, 23, 9, 20], [25, 25, 25, 25, 25, 26, 25, 26, 25, 26, 24, 25, 26, 24, 28, 24, 25, 25, 25, 26, 26, 25, 25, 25, 26]]",0.0020003318786621094
60,"[[18, 20, 10, 6, 11, 2, 22, 19, 13, 9, 8, 3, 14, 16, 24, 25, 15, 1, 7, 17, 12, 5, 21, 23, 4], [24, 25, 25, 25, 25, 26, 23, 26, 25, 26, 26, 25, 25, 25, 25, 25, 26, 25, 25, 24, 22, 24, 25, 24, 25]]",0.00299835205078125
75,"[[1, 18, 23, 21, 2, 16, 13, 6, 10, 20, 7, 19, 25, 5, 9, 17, 4, 8, 14, 22, 24, 11, 3, 15, 12], [26, 25, 25, 25, 25, 25, 25, 25, 25, 24, 25, 25, 25, 24, 26, 24, 22, 25, 25, 25, 24, 25, 25, 24, 25]]",0.003998279571533203
24,"[[13, 4, 20, 17, 11, 18, 21, 5, 14, 7, 8, 24, 2, 6, 25, 3, 15, 16, 19, 12, 23, 1, 22, 9, 10], [25, 24, 25, 25, 25, 25, 26, 24, 25, 25, 25, 25, 25, 25, 24, 25, 25, 25, 24, 26, 24, 25, 24, 25, 25]]",0.001998424530029297
71,"[[12, 11, 5, 20, 17, 18, 25, 8, 1, 13, 23, 4, 15, 14, 9, 2, 22, 16, 6, 19, 10, 3, 21, 24, 7], [25, 25, 25, 25, 25, 23, 25, 25, 25, 25, 22, 25, 25, 25, 23, 23, 25, 24, 23, 26, 23, 26, 25, 24, 25]]",0.002999544143676758
77,"[[11, 19, 1, 20, 14, 10, 7, 21, 4, 23, 6, 15, 18, 24, 2, 25, 16, 3, 12, 9, 13, 8, 22, 5, 17], [25, 24, 25, 23, 24, 25, 27, 21, 25, 26, 26, 25, 26, 25, 25, 26, 27, 24, 25, 25, 26, 24, 25, 25, 26]]",0.0019989013671875
25,"[[14, 11, 16, 17, 7, 10, 15, 1, 19, 20, 13, 2, 23, 18, 9, 24, 12, 3, 5, 21, 4, 25, 22, 6, 8], [25, 25, 25, 25, 25, 24, 24, 25, 25, 25, 25, 23, 24, 24, 26, 25, 24, 24, 26, 25, 25, 25, 25, 25, 25]]",0.0020041465759277344
168,"[[14, 9, 1, 25, 16, 13, 22, 21, 6, 3, 10, 2, 18, 12, 23, 11, 8, 20, 7, 19, 17, 24, 5, 15, 4], [26, 24, 25, 25, 25, 25, 25, 23, 24, 25, 26, 29, 25, 26, 24, 25, 23, 25, 23, 26, 26, 26, 26, 25, 29]]",0.003000974655151367
56,"[[5, 3, 19, 13, 25, 24, 23, 1, 2, 15, 9, 18, 14, 16, 8, 20, 17, 10, 12, 6, 7, 4, 21, 22, 11], [24, 25, 25, 25, 25, 24, 25, 25, 25, 26, 25, 25, 25, 25, 24, 26, 24, 25, 24, 25, 24, 25, 23, 26, 25]]",0.003002166748046875
78,"[[9, 23, 11, 20, 2, 3, 14, 17, 19, 12, 16, 6, 10, 15, 18, 24, 21, 5, 7, 8, 13, 1, 22, 4, 25], [26, 26, 25, 25, 23, 25, 27, 25, 25, 25, 25, 24, 25, 24, 24, 26, 25, 25, 26, 26, 26, 25, 25, 25, 25]]",0.0030028820037841797
32,"[[16, 8, 22, 9, 10, 6, 7, 14, 15, 23, 21, 5, 17, 4, 18, 19, 20, 11, 13, 2, 3, 25, 1, 24, 12], [25, 25, 24, 25, 25, 25, 25, 25, 25, 25, 26, 24, 26, 25, 26, 25, 25, 26, 25, 25, 25, 25, 26, 25, 24]]",0.003000020980834961
58,"[[16, 5, 19, 8, 17, 12, 25, 7, 20, 1, 15, 10, 13, 6, 21, 18, 11, 3, 9, 24, 4, 14, 23, 22, 2], [25, 26, 25, 25, 24, 26, 25, 26, 26, 25, 24, 24, 24, 24, 26, 25, 25, 25, 25, 25, 26, 26, 25, 25, 26]]",0.0029990673065185547
40,"[[25, 6, 14, 17, 3, 1, 18, 12, 19, 15, 11, 21, 7, 2, 24, 8, 16, 23, 5, 13, 20, 4, 9, 22, 10], [25, 25, 25, 22, 26, 24, 25, 24, 26, 24, 25, 23, 25, 25, 27, 24, 25, 26, 26, 26, 25, 25, 25, 25, 25]]",0.003996133804321289
24,"[[24, 3, 16, 5, 17, 13, 15, 22, 9, 6, 8, 23, 1, 12, 21, 2, 20, 19, 14, 10, 18, 4, 7, 25, 11], [24, 25, 25, 26, 25, 25, 25, 25, 25, 24, 25, 26, 25, 25, 25, 25, 26, 25, 25, 25, 25, 25, 25, 25, 26]]",0.0029993057250976562
141,"[[3, 25, 10, 19, 8, 11, 15, 13, 6, 20, 22, 14, 18, 7, 4, 5, 9, 23, 12, 16, 24, 2, 1, 21, 17], [26, 25, 25, 25, 25, 24, 25, 26, 24, 25, 26, 25, 25, 25, 24, 25, 26, 22, 26, 25, 25, 26, 25, 24, 25]]",0.0029990673065185547
143,"[[25, 11, 2, 19, 8, 3, 18, 17, 20, 7, 10, 13, 6, 21, 15, 5, 9, 24, 4, 23, 22, 14, 16, 1, 12], [25, 26, 26, 25, 26, 25, 24, 26, 25, 28, 24, 27, 27, 25, 26, 25, 26, 23, 25, 26, 24, 27, 26, 25, 25]]",0.0029664039611816406
167,"[[1, 17, 12, 25, 10, 14, 18, 2, 8, 23, 11, 9, 22, 7, 16, 20, 6, 5, 21, 13, 19, 15, 24, 4, 3], [27, 25, 25, 24, 25, 23, 25, 24, 27, 25, 26, 25, 24, 25, 27, 25, 24, 25, 26, 23, 25, 23, 24, 26, 23]]",0.0029981136322021484
57,"[[3, 24, 12, 22, 4, 2, 21, 16, 19, 7, 25, 1, 15, 13, 11, 18, 10, 8, 6, 23, 17, 9, 14, 5, 20], [25, 25, 25, 25, 25, 23, 26, 25, 25, 25, 24, 25, 25, 25, 25, 21, 25, 23, 26, 25, 23, 25, 26, 25, 26]]",0.0030019283294677734
26,"[[23, 17, 9, 5, 11, 24, 16, 3, 8, 14, 4, 6, 15, 22, 18, 2, 19, 13, 10, 21, 12, 7, 25, 20, 1], [24, 25, 25, 26, 25, 25, 25, 26, 25, 25, 25, 25, 25, 26, 24, 26, 25, 25, 24, 24, 25, 25, 25, 24, 25]]",0.0030014514923095703
20,"[[1, 25, 12, 21, 6, 24, 5, 11, 2, 23, 4, 17, 22, 14, 8, 16, 15, 7, 18, 9, 20, 3, 13, 10, 19], [25, 25, 25, 25, 24, 25, 26, 25, 26, 25, 25, 25, 26, 25, 25, 25, 25, 25, 25, 25, 23, 25, 27, 25, 24]]",0.0049991607666015625
55,"[[1, 19, 20, 2, 23, 7, 22, 16, 6, 14, 15, 9, 13, 11, 17, 24, 5, 12, 21, 3, 18, 10, 4, 25, 8], [25, 25, 25, 24, 25, 24, 26, 25, 25, 25, 22, 25, 25, 25, 25, 25, 26, 25, 25, 24, 26, 25, 25, 24, 26]]",0.0029969215393066406
98,"[[4, 9, 8, 19, 25, 24, 22, 10, 3, 6, 2, 17, 13, 15, 18, 12, 1, 20, 21, 11, 23, 16, 14, 7, 5], [25, 26, 26, 25, 22, 24, 24, 25, 25, 25, 26, 25, 25, 26, 25, 24, 26, 23, 25, 25, 28, 25, 24, 25, 24]]",0.0029947757720947266
131,"[[5, 3, 20, 14, 23, 21, 8, 25, 4, 7, 15, 18, 6, 16, 10, 11, 19, 12, 22, 1, 13, 17, 2, 9, 24], [24, 25, 24, 25, 26, 24, 25, 26, 26, 24, 24, 23, 26, 25, 25, 27, 26, 25, 24, 27, 20, 25, 25, 24, 25]]",0.0030019283294677734
58,"[[1, 9, 22, 13, 20, 17, 16, 3, 21, 8, 23, 11, 14, 2, 15, 18, 4, 7, 24, 12, 6, 25, 19, 5, 10], [25, 23, 25, 26, 25, 27, 24, 24, 25, 24, 26, 24, 24, 24, 25, 25, 25, 23, 25, 25, 25, 25, 24, 25, 22]]",0.00197601318359375
163,"[[11, 22, 25, 3, 4, 13, 9, 5, 21, 17, 18, 12, 10, 24, 1, 7, 14, 6, 15, 23, 16, 8, 19, 2, 20], [23, 23, 25, 25, 26, 28, 25, 25, 28, 26, 25, 26, 25, 25, 24, 25, 25, 26, 25, 25, 30, 25, 24, 24, 25]]",0.0019969940185546875
